shard_id,year,month,family,query,query_slug,start_ts,end_ts,start_date,end_date
broad_ai-2015-07-deep-learning,2015,07,broad_ai,deep learning,deep-learning,1435708800,1438387200,2015-07-01,2015-08-01
broad_ai-2015-07-neural-network,2015,07,broad_ai,neural network,neural-network,1435708800,1438387200,2015-07-01,2015-08-01
foundation_models-2015-07-gpt,2015,07,foundation_models,gpt,gpt,1435708800,1438387200,2015-07-01,2015-08-01
foundation_models-2015-07-llm,2015,07,foundation_models,llm,llm,1435708800,1438387200,2015-07-01,2015-08-01
foundation_models-2015-07-chatgpt,2015,07,foundation_models,chatgpt,chatgpt,1435708800,1438387200,2015-07-01,2015-08-01
foundation_models-2015-07-openai,2015,07,foundation_models,openai,openai,1435708800,1438387200,2015-07-01,2015-08-01
foundation_models-2015-07-claude,2015,07,foundation_models,claude,claude,1435708800,1438387200,2015-07-01,2015-08-01
foundation_models-2015-07-gemini,2015,07,foundation_models,gemini,gemini,1435708800,1438387200,2015-07-01,2015-08-01
doomer-2015-07-ai-safety,2015,07,doomer,ai safety,ai-safety,1435708800,1438387200,2015-07-01,2015-08-01
doomer-2015-07-alignment,2015,07,doomer,alignment,alignment,1435708800,1438387200,2015-07-01,2015-08-01
doomer-2015-07-misalignment,2015,07,doomer,misalignment,misalignment,1435708800,1438387200,2015-07-01,2015-08-01
doomer-2015-07-existential-risk,2015,07,doomer,existential risk,existential-risk,1435708800,1438387200,2015-07-01,2015-08-01
doomer-2015-07-x-risk,2015,07,doomer,x-risk,x-risk,1435708800,1438387200,2015-07-01,2015-08-01
doomer-2015-07-p-doom,2015,07,doomer,p(doom),p-doom,1435708800,1438387200,2015-07-01,2015-08-01
accelerationist-2015-07-e-acc,2015,07,accelerationist,e/acc,e-acc,1435708800,1438387200,2015-07-01,2015-08-01
accelerationist-2015-07-accelerationism,2015,07,accelerationist,accelerationism,accelerationism,1435708800,1438387200,2015-07-01,2015-08-01
accelerationist-2015-07-techno-optimism,2015,07,accelerationist,techno-optimism,techno-optimism,1435708800,1438387200,2015-07-01,2015-08-01
accelerationist-2015-07-abundance-agenda,2015,07,accelerationist,abundance agenda,abundance-agenda,1435708800,1438387200,2015-07-01,2015-08-01
accelerationist-2015-07-abundance,2015,07,accelerationist,abundance,abundance,1435708800,1438387200,2015-07-01,2015-08-01
broad_ai-2015-08-artificial-intelligence,2015,08,broad_ai,artificial intelligence,artificial-intelligence,1438387200,1441065600,2015-08-01,2015-09-01
broad_ai-2015-08-machine-learning,2015,08,broad_ai,machine learning,machine-learning,1438387200,1441065600,2015-08-01,2015-09-01
broad_ai-2015-08-deep-learning,2015,08,broad_ai,deep learning,deep-learning,1438387200,1441065600,2015-08-01,2015-09-01
broad_ai-2015-08-neural-network,2015,08,broad_ai,neural network,neural-network,1438387200,1441065600,2015-08-01,2015-09-01
foundation_models-2015-08-gpt,2015,08,foundation_models,gpt,gpt,1438387200,1441065600,2015-08-01,2015-09-01
foundation_models-2015-08-llm,2015,08,foundation_models,llm,llm,1438387200,1441065600,2015-08-01,2015-09-01
